,batch_id,comparison_id,document_id,result,hit_id,worker_id,completed_at
906,24,5847,5009,1,32W3UF2EZOVEQC1NW1KPZVGIEUU4CS,A1HTIP6ZI9TJU2,2015-10-15 09:04:30 UTC
907,24,5740,4990,1,3E24UO25QZ0TEO245UMVRTUDZZJ6OC,A27FVH8VVIL20T,2015-10-15 09:02:54 UTC
908,24,5740,5004,0,3E24UO25QZ0TEO245UMVRTUDZZJ6OC,A27FVH8VVIL20T,2015-10-15 09:02:54 UTC
909,24,5730,5003,0,3BA7SXOG1J0JFFD8Q10X52V9GHSR8R,A9QYAH5BONH1W,2015-10-15 09:02:51 UTC
910,24,5730,4975,1,3BA7SXOG1J0JFFD8Q10X52V9GHSR8R,A9QYAH5BONH1W,2015-10-15 09:02:51 UTC
911,24,5744,4970,1,3WA2XVDZEMR72XPFBGJZMH0ZVXCE6F,AMVBZXM810ZMA,2015-10-15 09:02:55 UTC
912,24,5744,5003,0,3WA2XVDZEMR72XPFBGJZMH0ZVXCE6F,AMVBZXM810ZMA,2015-10-15 09:02:55 UTC
913,24,5770,4977,0,3NKW03WTLMHUTFUQBPR3ESOQ22TQW4,A38VMTKS30TQZB,2015-10-15 09:03:17 UTC
914,24,5770,5007,1,3NKW03WTLMHUTFUQBPR3ESOQ22TQW4,A38VMTKS30TQZB,2015-10-15 09:03:17 UTC
915,24,5798,4992,0,3I7SHAD35M6OILVXBOCA5354ZANM7B,A38K3QQPV8CTPC,2015-10-15 09:03:27 UTC
916,24,5798,5020,1,3I7SHAD35M6OILVXBOCA5354ZANM7B,A38K3QQPV8CTPC,2015-10-15 09:03:27 UTC
917,24,5760,5001,0,3J9L0X0VDFWO1GD4UNGHSXY1S2PW9O,AQORJW4W8U9YU,2015-10-15 09:03:07 UTC
918,24,5760,5015,1,3J9L0X0VDFWO1GD4UNGHSXY1S2PW9O,AQORJW4W8U9YU,2015-10-15 09:03:07 UTC
919,24,5755,4982,1,3PEG1BH7AE1GU9YK3TBAVSZWTVKKBR,A38K3QQPV8CTPC,2015-10-15 09:03:06 UTC
920,24,5755,5017,0,3PEG1BH7AE1GU9YK3TBAVSZWTVKKBR,A38K3QQPV8CTPC,2015-10-15 09:03:06 UTC
921,24,5785,4970,1,3XH7ZM9YX24JTKWIVT6B5YQK0NB9RZ,A38VMTKS30TQZB,2015-10-15 09:03:23 UTC
922,24,5785,4992,0,3XH7ZM9YX24JTKWIVT6B5YQK0NB9RZ,A38VMTKS30TQZB,2015-10-15 09:03:23 UTC
923,24,5780,5001,0,335VBRURDJAUKGRD9NMB6RR1LYKE9Q,AOO39X8E3OJYY,2015-10-15 09:03:21 UTC
924,24,5780,4975,1,335VBRURDJAUKGRD9NMB6RR1LYKE9Q,AOO39X8E3OJYY,2015-10-15 09:03:21 UTC
925,24,5765,4999,0,351S7I5UG96NKYHZOYG7L8ZDVVXJNF,A2QLSHXNCHBRN4,2015-10-15 09:03:15 UTC
926,24,5765,4970,1,351S7I5UG96NKYHZOYG7L8ZDVVXJNF,A2QLSHXNCHBRN4,2015-10-15 09:03:15 UTC
927,24,5725,4988,0,34R0BODSP19BJTP16X9UUBMZZ21E5Z,A9QYAH5BONH1W,2015-10-15 09:02:44 UTC
928,24,5725,4972,1,34R0BODSP19BJTP16X9UUBMZZ21E5Z,A9QYAH5BONH1W,2015-10-15 09:02:44 UTC
929,24,5753,4997,0,30Y6N4AHYP6VWA9Z79BDRU9AR8PRDX,A248P03SBIGVNH,2015-10-15 09:03:05 UTC
930,24,5753,4991,1,30Y6N4AHYP6VWA9Z79BDRU9AR8PRDX,A248P03SBIGVNH,2015-10-15 09:03:05 UTC
931,24,5800,4969,1,391FPZIE4CW4OI6IXZP8NQBSQZNHU1,A38VMTKS30TQZB,2015-10-15 09:03:28 UTC
932,24,5800,4988,0,391FPZIE4CW4OI6IXZP8NQBSQZNHU1,A38VMTKS30TQZB,2015-10-15 09:03:28 UTC
933,24,5795,4991,0,3X2YVV51PUE6CBA9QA1ODRGIUQ21WL,A2QLSHXNCHBRN4,2015-10-15 09:03:26 UTC
934,24,5795,4998,1,3X2YVV51PUE6CBA9QA1ODRGIUQ21WL,A2QLSHXNCHBRN4,2015-10-15 09:03:26 UTC
935,24,5802,4981,0,33P2GD6NRN2QLM163LL6H32UO8PKH7,A9QYAH5BONH1W,2015-10-15 09:03:28 UTC
936,24,5802,5001,1,33P2GD6NRN2QLM163LL6H32UO8PKH7,A9QYAH5BONH1W,2015-10-15 09:03:28 UTC
937,24,5735,4991,1,3ZCC2DXSD7E7RMGCH0QLCBC8CJAYYE,A2U9QFKBD9XHP7,2015-10-15 09:02:53 UTC
938,24,5735,4992,0,3ZCC2DXSD7E7RMGCH0QLCBC8CJAYYE,A2U9QFKBD9XHP7,2015-10-15 09:02:53 UTC
939,24,5790,5005,0,3YLTXLH3DFGRWDYMGDQEDKOTIIVHP5,AR8AWAHW7PAZT,2015-10-15 09:03:25 UTC
940,24,5790,4990,1,3YLTXLH3DFGRWDYMGDQEDKOTIIVHP5,AR8AWAHW7PAZT,2015-10-15 09:03:25 UTC
941,24,5778,5000,1,3JHB4BPSFKJJHJHIIEHB08GF4199QY,AK8ONB60Q4RJ5,2015-10-15 09:03:21 UTC
942,24,5778,4983,0,3JHB4BPSFKJJHJHIIEHB08GF4199QY,AK8ONB60Q4RJ5,2015-10-15 09:03:21 UTC
943,24,5797,4997,0,3QGHA0EA0JA7P9S1S7UDJ3TRG2SWBY,AMVBZXM810ZMA,2015-10-15 09:03:27 UTC
944,24,5797,5009,1,3QGHA0EA0JA7P9S1S7UDJ3TRG2SWBY,AMVBZXM810ZMA,2015-10-15 09:03:27 UTC
945,24,5851,4977,1,30EMX9PEVKTFBVFMEFX5LH9WXJ6KSS,A19TL7AJ0FB1JG,2015-10-15 09:04:31 UTC
946,24,5851,5005,0,30EMX9PEVKTFBVFMEFX5LH9WXJ6KSS,A19TL7AJ0FB1JG,2015-10-15 09:04:31 UTC
947,24,5796,4996,0,3P7QK0GJ3TVHVRXAK1L9HEK53YJZ2P,A1MYLQQL8BBOYT,2015-10-15 09:03:26 UTC
948,24,5796,5010,1,3P7QK0GJ3TVHVRXAK1L9HEK53YJZ2P,A1MYLQQL8BBOYT,2015-10-15 09:03:26 UTC
949,24,5810,5002,1,3SBNLSTU6UF4Y1VQHQ5QDXB90P8ZDY,A3LI0O659I8GFX,2015-10-15 09:04:15 UTC
950,24,5810,5015,0,3SBNLSTU6UF4Y1VQHQ5QDXB90P8ZDY,A3LI0O659I8GFX,2015-10-15 09:04:15 UTC
951,24,5858,5018,1,3AC6MFV69KSLAH0S3MOG4IQ7SH2HZQ,A21EFJ972J40T6,2015-10-15 09:04:34 UTC
952,24,5858,5019,0,3AC6MFV69KSLAH0S3MOG4IQ7SH2HZQ,A21EFJ972J40T6,2015-10-15 09:04:34 UTC
953,24,5825,5019,1,34R3P23QHSBHGMVNSZ495EWPBFYHW0,AN3F3H70WHNAM,2015-10-15 09:04:22 UTC
954,24,5825,4972,0,34R3P23QHSBHGMVNSZ495EWPBFYHW0,AN3F3H70WHNAM,2015-10-15 09:04:22 UTC
955,24,5815,4995,0,3XEDXEGFX3YFAMVA5DELBB3D2RMK04,A1MYLQQL8BBOYT,2015-10-15 09:04:17 UTC
956,24,5815,4970,1,3XEDXEGFX3YFAMVA5DELBB3D2RMK04,A1MYLQQL8BBOYT,2015-10-15 09:04:17 UTC
957,24,5835,5017,0,3S1L4CQSFXF0VD1EW4KHK4NL3HIFAP,AN3F3H70WHNAM,2015-10-15 09:04:25 UTC
958,24,5835,4992,1,3S1L4CQSFXF0VD1EW4KHK4NL3HIFAP,AN3F3H70WHNAM,2015-10-15 09:04:25 UTC
959,24,5830,4988,1,3R5OYNIC2CJH1MPHG773R3RHTCQPTN,AMVBZXM810ZMA,2015-10-15 09:04:24 UTC
960,24,5830,4975,0,3R5OYNIC2CJH1MPHG773R3RHTCQPTN,AMVBZXM810ZMA,2015-10-15 09:04:24 UTC
961,24,5848,4993,0,3RHLQY6EDTEOV471WXF0J1Y0ZU64DS,ALLP45O3BDWYM,2015-10-15 09:04:30 UTC
962,24,5848,5020,1,3RHLQY6EDTEOV471WXF0J1Y0ZU64DS,ALLP45O3BDWYM,2015-10-15 09:04:30 UTC
963,24,5820,4981,0,3EKZL9T8Y8W82OPIB848TKPMJZGCHM,A7XL1V3G7C2VV,2015-10-15 09:04:20 UTC
964,24,5820,5007,1,3EKZL9T8Y8W82OPIB848TKPMJZGCHM,A7XL1V3G7C2VV,2015-10-15 09:04:20 UTC
965,24,5728,5013,1,3H781YYV6TSD4V0R7TRSXRSDF5OETR,A27FVH8VVIL20T,2015-10-15 09:02:50 UTC
966,24,5728,4983,0,3H781YYV6TSD4V0R7TRSXRSDF5OETR,A27FVH8VVIL20T,2015-10-15 09:02:50 UTC
967,24,5853,4992,0,329E6HTMSWCBREU7O0W4D91K536K3Z,A19CB2C4GY4C60,2015-10-15 09:04:32 UTC
968,24,5853,4991,1,329E6HTMSWCBREU7O0W4D91K536K3Z,A19CB2C4GY4C60,2015-10-15 09:04:32 UTC
969,24,5819,4975,1,3V7ICJJAZAQVG79HI1OUOBA0W9U4BL,A2G4HMUKKEDQXC,2015-10-15 09:04:19 UTC
970,24,5819,5008,0,3V7ICJJAZAQVG79HI1OUOBA0W9U4BL,A2G4HMUKKEDQXC,2015-10-15 09:04:19 UTC
971,24,5855,4970,1,3511RHPADVOEUMXRKQ91A7HF0HRRLD,A2G4HMUKKEDQXC,2015-10-15 09:04:33 UTC
972,24,5855,5017,0,3511RHPADVOEUMXRKQ91A7HF0HRRLD,A2G4HMUKKEDQXC,2015-10-15 09:04:33 UTC
973,24,5849,4976,1,3SR6AEG6W53L5RQN70MXQBH5MNYHYZ,A2UIGDOLX5RV95,2015-10-15 09:04:30 UTC
974,24,5849,4980,0,3SR6AEG6W53L5RQN70MXQBH5MNYHYZ,A2UIGDOLX5RV95,2015-10-15 09:04:30 UTC
975,24,5826,5014,0,3H1C3QRA01TWIEYGL7W28HS9RJNEC7,AN3F3H70WHNAM,2015-10-15 09:04:22 UTC
976,24,5826,4999,1,3H1C3QRA01TWIEYGL7W28HS9RJNEC7,AN3F3H70WHNAM,2015-10-15 09:04:22 UTC
977,24,5804,4990,1,3QMELQS6Y5LWB1UKXM3ZLOZIAM2R65,A9QYAH5BONH1W,2015-10-15 09:03:38 UTC
978,24,5804,4982,0,3QMELQS6Y5LWB1UKXM3ZLOZIAM2R65,A9QYAH5BONH1W,2015-10-15 09:03:38 UTC
979,24,5789,4980,0,3A520CCNWNA8PZ1I1T0B2M2LRG2EA5,A341FR20648KIN,2015-10-15 09:03:24 UTC
980,24,5789,5014,1,3A520CCNWNA8PZ1I1T0B2M2LRG2EA5,A341FR20648KIN,2015-10-15 09:03:24 UTC
981,24,5831,5001,1,3L1EFR8WWTFMQUR94Y6HO9C1XZ0F9A,AN3F3H70WHNAM,2015-10-15 09:04:24 UTC
982,24,5831,4977,0,3L1EFR8WWTFMQUR94Y6HO9C1XZ0F9A,AN3F3H70WHNAM,2015-10-15 09:04:24 UTC
983,24,5729,5006,1,308KJXFUJRGAEIJFROP6182MUQPTAA,A365SN61J4UNGR,2015-10-15 09:02:51 UTC
984,24,5729,5012,0,308KJXFUJRGAEIJFROP6182MUQPTAA,A365SN61J4UNGR,2015-10-15 09:02:51 UTC
985,24,5805,4972,1,3KTCJ4SCVGBA7ZGVM8V14TERWOO1MU,ALLP45O3BDWYM,2015-10-15 09:03:38 UTC
986,24,5805,5017,0,3KTCJ4SCVGBA7ZGVM8V14TERWOO1MU,ALLP45O3BDWYM,2015-10-15 09:03:38 UTC
987,24,5775,4983,1,3IVEC1GSLP9K6RAAJBI9O1MASUT1JQ,A2HGRSPR50ENHL,2015-10-15 09:03:20 UTC
988,24,5775,4972,0,3IVEC1GSLP9K6RAAJBI9O1MASUT1JQ,A2HGRSPR50ENHL,2015-10-15 09:03:20 UTC
989,24,5749,5014,1,3KA7IJSNW6FH50V0GLGIR9LVN5PPBW,A365SN61J4UNGR,2015-10-15 09:03:04 UTC
